event,type,eventvalue,eventID,userID,createtime,modifiedtime
FixedDeposit_Value,cancelled,200,900003,321,2024/2/6 16:40,2024/5/5 16:53
FixedDeposit_ID,id,70002,900003,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_Duration,year,2,900003,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_StartTime,time,2023/3/2 16:40,900003,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_EndTime,time,2025/3/2 16:40,900003,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_percentage,interest,15%,900003,321,2024/2/6 16:40,2024/2/6 16:40
FixedDeposit_Value,finished,300,900019,321,2023/3/2 16:40,2023/3/2 16:40
FixedDeposit_ID,id,70001,900019,321,2023/3/2 16:40,2023/3/2 16:40
FixedDeposit_percentage,interest,10%,900019,321,2023/3/2 16:40,2023/3/2 16:40
FixedDeposit_Duration,year,1,900019,321,2023/3/2 16:40,2023/3/2 16:40
FixedDeposit_StartTime,time,2023/3/2 16:40,900019,321,2023/3/2 16:40,2023/3/2 16:40
FixedDeposit_EndTime,time,2024/3/2 16:40,900019,321,2023/3/2 16:40,2023/3/2 16:40
FixedDeposit_Interest,positive,30,900019,321,2024/3/6 16:40,2024/3/6 16:40
Implement_Tasks,positive,88,900009,321,2024/4/13 15:05,2024/4/13 15:05
Implement_Tasks_ID,id,50012,900009,321,2024/4/13 15:05,2024/4/13 15:05
Implement_Tasks,positive,10,900010,321,2024/4/13 22:06,2024/4/13 22:06
Implement_Tasks_ID,id,50001,900010,321,2024/4/13 22:06,2024/4/13 22:06
Implement_Tasks,positive,20,900011,321,2024/4/13 22:06,2024/4/13 22:06
Implement_Tasks_ID,id,50006,900011,321,2024/4/13 22:06,2024/4/13 22:06
Implement_Tasks,positive,10,900012,321,2024/4/13 22:07,2024/4/13 22:07
Implement_Tasks_ID,id,50003,900012,321,2024/4/13 22:07,2024/4/13 22:07
Implement_Tasks,positive,33,900015,328,2024/4/14 22:03,2024/4/14 22:03
Implement_Tasks_ID,id,50026,900015,328,2024/4/14 22:03,2024/4/14 22:03
Implement_Tasks,positive,44,900016,328,2024/4/14 22:04,2024/4/14 22:04
Implement_Tasks_ID,id,50027,900016,328,2024/4/14 22:04,2024/4/14 22:04
Implement_Tasks,positive,20,900020,327,2024/4/15 20:54,2024/4/15 20:54
Implement_Tasks_ID,id,50035,900020,327,2024/4/15 20:54,2024/4/15 20:54
Implement_Tasks,positive,80,900021,327,2024/4/15 21:03,2024/4/15 21:03
Implement_Tasks_ID,id,50036,900021,327,2024/4/15 21:03,2024/4/15 21:03
Redeem_Gifts,negative,120,900022,321,2024/4/21 19:36,2024/4/21 19:36
Redeem_Gifts_ID,id,60014,900022,321,2024/4/21 19:36,2024/4/21 19:36
Implement_Tasks,positive,199,900025,321,2024/5/3 12:20,2024/5/3 12:20
Implement_Tasks_ID,id,50020,900025,321,2024/5/3 12:20,2024/5/3 12:20
FixedDeposit_Value,open,150,900026,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_ID,id,70000,900026,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_Duration,year,0.5,900026,321,2024/5/4 01:01,2024/5/4 01:01
FixedDeposit_StartTime,time,2024/5/4 01:01,900026,321,2024/5/4 01:01,2024/5/4 01:01
